id,kaomoji,subcategory,category
km_000001,(* ^ ω ^),Joy,Positive Emotions
km_000002,(´ ∀ ` *),Joy,Positive Emotions
km_000003,٩(◕‿◕｡)۶,Joy,Positive Emotions
km_000004,☆*:.｡.o(≧▽≦)o.｡.:*☆,Joy,Positive Emotions
km_000005,(o^▽^o),Joy,Positive Emotions
km_000006,(⌒▽⌒)☆,Joy,Positive Emotions
km_000007,<(￣︶￣)>,Joy,Positive Emotions
km_000008,。.:☆*:･'(*⌒―⌒*))),Joy,Positive Emotions
km_000009,ヽ(・∀・)ﾉ,Joy,Positive Emotions
km_000010,(´｡• ω •｡`),Joy,Positive Emotions
km_000011,(￣ω￣),Joy,Positive Emotions
km_000012,｀;:゛;｀;･(°ε° ),Joy,Positive Emotions
km_000013,(o･ω･o),Joy,Positive Emotions
km_000014,(＠＾◡＾),Joy,Positive Emotions
km_000015,ヽ(*・ω・)ﾉ,Joy,Positive Emotions
km_000016,(o_ _)ﾉ彡☆,Joy,Positive Emotions
km_000017,(^人^),Joy,Positive Emotions
km_000018,(o´▽`o),Joy,Positive Emotions
km_000019,(*´▽`*),Joy,Positive Emotions
km_000020,｡ﾟ( ﾟ^∀^ﾟ)ﾟ｡,Joy,Positive Emotions
km_000021,( ´ ω ` ),Joy,Positive Emotions
km_000022,(((o(*°▽°*)o))),Joy,Positive Emotions
km_000023,(≧◡≦),Joy,Positive Emotions
km_000024,(o´∀`o),Joy,Positive Emotions
km_000025,(´• ω •`),Joy,Positive Emotions
km_000026,(＾▽＾),Joy,Positive Emotions
km_000027,(⌒ω⌒),Joy,Positive Emotions
km_000028,∑d(°∀°d),Joy,Positive Emotions
km_000029,╰(▔∀▔)╯,Joy,Positive Emotions
km_000030,(─‿‿─),Joy,Positive Emotions
km_000031,(*^‿^*),Joy,Positive Emotions
km_000032,ヽ(o^ ^o)ﾉ,Joy,Positive Emotions
km_000033,(✯◡✯),Joy,Positive Emotions
km_000034,(◕‿◕),Joy,Positive Emotions
km_000035,(*≧ω≦*),Joy,Positive Emotions
km_000036,(☆▽☆),Joy,Positive Emotions
km_000037,(⌒‿⌒),Joy,Positive Emotions
km_000038,＼(≧▽≦)／,Joy,Positive Emotions
km_000039,ヽ(o＾▽＾o)ノ,Joy,Positive Emotions
km_000040,☆ ～('▽^人),Joy,Positive Emotions
km_000041,(*°▽°*),Joy,Positive Emotions
km_000042,٩(｡•́‿•̀｡)۶,Joy,Positive Emotions
km_000043,(✧ω✧),Joy,Positive Emotions
km_000044,ヽ(*⌒▽⌒*)ﾉ,Joy,Positive Emotions
km_000045,(´｡• ᵕ •｡`),Joy,Positive Emotions
km_000046,( ´ ▽ ` ),Joy,Positive Emotions
km_000047,(￣▽￣),Joy,Positive Emotions
km_000048,╰(*´︶`*)╯,Joy,Positive Emotions
km_000049,ヽ(>∀<☆)ノ,Joy,Positive Emotions
km_000050,o(≧▽≦)o,Joy,Positive Emotions
km_000051,(☆ω☆),Joy,Positive Emotions
km_000052,(っ˘ω˘ς ),Joy,Positive Emotions
km_000053,＼(￣▽￣)／,Joy,Positive Emotions
km_000054,(*¯︶¯*),Joy,Positive Emotions
km_000055,＼(＾▽＾)／,Joy,Positive Emotions
km_000056,٩(◕‿◕)۶,Joy,Positive Emotions
km_000057,(o˘◡˘o),Joy,Positive Emotions
km_000058,\(★ω★)/,Joy,Positive Emotions
km_000059,\(^ヮ^)/,Joy,Positive Emotions
km_000060,(〃＾▽＾〃),Joy,Positive Emotions
km_000061,(╯✧▽✧)╯,Joy,Positive Emotions
km_000062,o(>ω<)o,Joy,Positive Emotions
km_000063,o( ❛ᴗ❛ )o,Joy,Positive Emotions
km_000064,｡ﾟ(TヮT)ﾟ｡,Joy,Positive Emotions
km_000065,( ‾́ ◡ ‾́ ),Joy,Positive Emotions
km_000066,(ﾉ´ヮ`)ﾉ*: ･ﾟ,Joy,Positive Emotions
km_000067,(b ᵔ▽ᵔ)b,Joy,Positive Emotions
km_000068,(๑˃ᴗ˂)ﻭ,Joy,Positive Emotions
km_000069,(๑˘︶˘๑),Joy,Positive Emotions
km_000070,( ˙꒳​˙ ),Joy,Positive Emotions
km_000071,(*꒦ິ꒳꒦ີ),Joy,Positive Emotions
km_000072,°˖✧◝(⁰▿⁰)◜✧˖°,Joy,Positive Emotions
km_000073,(´･ᴗ･ ` ),Joy,Positive Emotions
km_000074,(ﾉ◕ヮ◕)ﾉ*:･ﾟ✧,Joy,Positive Emotions
km_000075,(„• ֊ •„),Joy,Positive Emotions
km_000076,(.❛ ᴗ ❛.),Joy,Positive Emotions
km_000077,(⁀ᗢ⁀),Joy,Positive Emotions
km_000078,(￢‿￢ ),Joy,Positive Emotions
km_000079,(¬‿¬ ),Joy,Positive Emotions
km_000080,(*￣▽￣)b,Joy,Positive Emotions
km_000081,( ˙▿˙ ),Joy,Positive Emotions
km_000082,(¯▿¯),Joy,Positive Emotions
km_000083,( ◕▿◕ ),Joy,Positive Emotions
km_000084,＼(٥⁀▽⁀ )／,Joy,Positive Emotions
km_000085,(„• ᴗ •„),Joy,Positive Emotions
km_000086,(ᵔ◡ᵔ),Joy,Positive Emotions
km_000087,( ´ ▿ ` ),Joy,Positive Emotions
km_000088,(๑>◡<๑),Joy,Positive Emotions
km_000089,( = ⩊ = ),Joy,Positive Emotions
km_000090,( ´ ꒳ ` ),Joy,Positive Emotions
