kaomoji,subcategory,category
(* ^ ω ^),Joy,Positive Emotions
(´ ∀ ` *),Joy,Positive Emotions
٩(◕‿◕｡)۶,Joy,Positive Emotions
☆*:.｡.o(≧▽≦)o.｡.:*☆,Joy,Positive Emotions
(o^▽^o),Joy,Positive Emotions
(⌒▽⌒)☆,Joy,Positive Emotions
<(￣︶￣)>,Joy,Positive Emotions
。.:☆*:･'(*⌒―⌒*))),Joy,Positive Emotions
ヽ(・∀・)ﾉ,Joy,Positive Emotions
(´｡• ω •｡`),Joy,Positive Emotions
(￣ω￣),Joy,Positive Emotions
｀;:゛;｀;･(°ε° ),Joy,Positive Emotions
(o･ω･o),Joy,Positive Emotions
(＠＾◡＾),Joy,Positive Emotions
ヽ(*・ω・)ﾉ,Joy,Positive Emotions
(o_ _)ﾉ彡☆,Joy,Positive Emotions
(^人^),Joy,Positive Emotions
(o´▽`o),Joy,Positive Emotions
(*´▽`*),Joy,Positive Emotions
｡ﾟ( ﾟ^∀^ﾟ)ﾟ｡,Joy,Positive Emotions
( ´ ω ` ),Joy,Positive Emotions
(((o(*°▽°*)o))),Joy,Positive Emotions
(≧◡≦),Joy,Positive Emotions
(o´∀`o),Joy,Positive Emotions
(´• ω •`),Joy,Positive Emotions
(＾▽＾),Joy,Positive Emotions
(⌒ω⌒),Joy,Positive Emotions
∑d(°∀°d),Joy,Positive Emotions
╰(▔∀▔)╯,Joy,Positive Emotions
(─‿‿─),Joy,Positive Emotions
(*^‿^*),Joy,Positive Emotions
ヽ(o^ ^o)ﾉ,Joy,Positive Emotions
(✯◡✯),Joy,Positive Emotions
(◕‿◕),Joy,Positive Emotions
(*≧ω≦*),Joy,Positive Emotions
(☆▽☆),Joy,Positive Emotions
(⌒‿⌒),Joy,Positive Emotions
＼(≧▽≦)／,Joy,Positive Emotions
ヽ(o＾▽＾o)ノ,Joy,Positive Emotions
☆ ～('▽^人),Joy,Positive Emotions
(*°▽°*),Joy,Positive Emotions
٩(｡•́‿•̀｡)۶,Joy,Positive Emotions
(✧ω✧),Joy,Positive Emotions
ヽ(*⌒▽⌒*)ﾉ,Joy,Positive Emotions
(´｡• ᵕ •｡`),Joy,Positive Emotions
( ´ ▽ ` ),Joy,Positive Emotions
(￣▽￣),Joy,Positive Emotions
╰(*´︶`*)╯,Joy,Positive Emotions
ヽ(>∀<☆)ノ,Joy,Positive Emotions
o(≧▽≦)o,Joy,Positive Emotions
(☆ω☆),Joy,Positive Emotions
(っ˘ω˘ς ),Joy,Positive Emotions
＼(￣▽￣)／,Joy,Positive Emotions
(*¯︶¯*),Joy,Positive Emotions
＼(＾▽＾)／,Joy,Positive Emotions
٩(◕‿◕)۶,Joy,Positive Emotions
(o˘◡˘o),Joy,Positive Emotions
\(★ω★)/,Joy,Positive Emotions
\(^ヮ^)/,Joy,Positive Emotions
(〃＾▽＾〃),Joy,Positive Emotions
(╯✧▽✧)╯,Joy,Positive Emotions
o(>ω<)o,Joy,Positive Emotions
o( ❛ᴗ❛ )o,Joy,Positive Emotions
｡ﾟ(TヮT)ﾟ｡,Joy,Positive Emotions
( ‾́ ◡ ‾́ ),Joy,Positive Emotions
(ﾉ´ヮ`)ﾉ*: ･ﾟ,Joy,Positive Emotions
(b ᵔ▽ᵔ)b,Joy,Positive Emotions
(๑˃ᴗ˂)ﻭ,Joy,Positive Emotions
(๑˘︶˘๑),Joy,Positive Emotions
( ˙꒳​˙ ),Joy,Positive Emotions
(*꒦ິ꒳꒦ີ),Joy,Positive Emotions
°˖✧◝(⁰▿⁰)◜✧˖°,Joy,Positive Emotions
(´･ᴗ･ ` ),Joy,Positive Emotions
(ﾉ◕ヮ◕)ﾉ*:･ﾟ✧,Joy,Positive Emotions
(„• ֊ •„),Joy,Positive Emotions
(.❛ ᴗ ❛.),Joy,Positive Emotions
(⁀ᗢ⁀),Joy,Positive Emotions
(￢‿￢ ),Joy,Positive Emotions
(¬‿¬ ),Joy,Positive Emotions
(*￣▽￣)b,Joy,Positive Emotions
( ˙▿˙ ),Joy,Positive Emotions
(¯▿¯),Joy,Positive Emotions
( ◕▿◕ ),Joy,Positive Emotions
